"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Logout Functionality","1","0","","0"
"0","","0","Search User Functionality","1","0","","0"
"0","","0","Recruitment Functionality","1","0","","0"
"0","","0","Delete Employee Functionality","1","0","","0"
"0","","0","Search Employee Functionality","1","0","","0"
"0","","0","Dashboard Validation","1","0","","0"
"0","","0","Leave Search Functionality","1","0","","0"
"0","","0","Update Employee Functionality","1","0","","0"
"0","","0","Leave Module","1","0","","0"
"0","","0","Forgot Password Functionality","1","0","","0"
"0","","0","Invalid Login Functionality","1","0","","0"
"0","","0","Add Employee Functionality","1","0","","0"
"0","","0","Employee List Functionality","1","0","","0"
"0","","0","Login Functionality","1","0","","0"
